ID,WILLAYA_ID,COMMUNE_ID,COMMUNE,COMMUNE_ARABIC,RISK,CAPITAL_ASSURE
1,1,01,ADRAR,أدرار,0.5,338240000.0
2,1,02,TAMEST,تأماست,0.5,3000000.0
3,1,03,CHAROUINE,شروين,0.5,0.0
4,1,04,REGGANE,رقان,0.5,0.0
5,1,05,IN ZGHMIR,ان زغمير,0.5,1100000.0
6,1,06,TIT,تيت,0.5,0.0
7,1,07,KSAR KADDOUR,قصر قدور,0.5,0.0
8,1,08,TSABIT,تسابيت,0.5,0.0
9,1,09,TIMIMOUN,تيميمون,0.5,0.0
10,1,10,OULED SAID,أولاد السعيد,0.5,0.0
11,1,11,ZAOUIET- KOUNTA,زاوية كنتة,0.5,0.0
12,1,12,AOULEF,أولف,0.5,1000000.0
13,1,13,TIMOKTEN,تمقتن,0.5,0.0
14,1,14,TAMENTIT,تامنطيت,0.5,0.0
15,1,15,FENOUGHIL,فنوغيل,0.5,0.0
16,1,16,TINERKOUK,تنيركوك,0.5,0.0
17,1,17,DELDOUL,دلدول,0.5,0.0
18,1,18,SALI,سالى,0.5,0.0
19,1,19,AKABLI,أقبلى,0.5,0.0
20,1,20,METARFA,الطارفة,0.5,2000000.0
21,1,21,OULED AHMED TIMMI,أولاد أحمد تيمى,0.5,0.0
22,1,22,BOUDA,بودة,0.5,0.0
23,1,23,AOUGROUT,أوقرت,0.5,0.0
24,1,24,TALMINE,طالمين,0.5,1000000.0
25,1,25,BORDJ BADJI MOKHTAR,برج باجى مختار,0.5,0.0
26,1,26,SBAA,السبع,0.5,0.0
27,1,27,OULED AISSA,أولاد عيسى,0.5,0.0
28,1,28,TIMIAOUINE,تيمياوين,0.5,0.0
29,2,01,CHLEF,الشلف,4,338240000.0
30,2,02,TENES,تنس,4,3000000.0
31,2,03,BENAIRIA,بنايرية,4,0.0
32,2,04,EL KARIMIA,الكريمية,3,0.0
33,2,05,TADJNA,تأجنة,4,1100000.0
34,2,06,TAOUGRIT,تاوقريت,4,0.0
35,2,07,BENI HAOUA,بنى حواء,4,0.0
36,2,08,SOBHA,صبحة,4,0.0
37,2,09,HARCHOUN,حرشون,3,0.0
38,2,10,OULED FARES,أولاد فارس,4,0.0
39,2,11,SIDI AKKACHA,سيدى عكاشة,4,0.0
40,2,12,BOUKADIR,بوقادير,3,1000000.0
41,2,13,BENI RACHED,بنى راشد,4,0.0
42,2,14,TALASSA,تلعصة,4,0.0
43,2,15,HARENFA,الھرنفة,4,0.0
44,2,16,OUED GOUSINE,وادى قوسين,4,0.0
45,2,17,DAHRA,الظھرة,4,0.0
46,2,18,OULED ABBES,أولاد عباس,4,0.0
47,2,19,SENDJAS,السنجاس,3,0.0
48,2,20,ZEBOUDJA,الزبوجة,4,2000000.0
49,2,21,OUED SLY,وادى سلى,3,0.0
50,2,22,ABOU EL HASSEN,أبو الحسن,4,0.0
51,2,23,EL MARSA,المرسى,4,0.0
52,2,24,CHETTIA,الشطية,4,1000000.0
53,2,25,SIDI ABDERRAHMANE,سيدي عبد الرحمان,4,0.0
54,2,26,MOUSSADEK,مصدق,4,0.0
55,2,27,EL HADJADJ,الحجاج,2,0.0
56,2,28,LABIOD MEDJADJA,الابيض مجاجة,4,0.0
57,2,29,OUED FODDA,وادى الفضة,4,129780000.0
58,2,30,OULED BEN.AEK,أولاد بن عبد القادر,2,7000000.0
59,2,31,BOUZGHAIA,بوزغاية,4,0.0
60,2,32,AIN MERANE,عين مران,4,43920000.0
61,2,33,OUM DROU,أم الذروع,4,9836000.0
62,2,34,BREIRA,بريرة,4,778649693.05
63,2,35,BENI BOUATEB,بنى بوعتاب,4,16039550.0
64,3,01,LAGHOUAT,الأغواط,1,338240000.0
65,3,02,KSAR.HIRANE,قصر الحيران,1,3000000.0
66,3,03,MEKHAREG,بن ناصر بن شھرة,1,0.0
67,3,04,SIDI MAKHLOUF,سيدي مخلوف,1,0.0
68,3,05,HASSI DALAA,حاسى دلاع,1,1100000.0
69,3,06,HASSI R'MEL,حاسى الرمل,1,0.0
70,3,07,AIN MAHDI,عين ماضي,1,0.0
71,3,08,TADJEMOUNT,تاجموت,1,0.0
72,3,09,KHENNEG,الخنق,1,0.0
73,3,10,GUELTAT SIDI SAAD,قلتة سيدي سعد,1,0.0
74,3,11,AIN SIDI ALI,عين سيدي على,1,0.0
75,3,12,BEIDHA,بيضاء,1,1000000.0
76,3,13,BRIDA,بريدة,1,0.0
77,3,14,EL GHICHA,الغيشة,1,0.0
78,3,15,HADJ MECHERI,حاج مشري,1,0.0
79,3,16,SEBGAG,سبقاق,1,0.0
80,3,17,TAOUILA,تاويالة,1,0.0
81,3,18,TAJROUNA,تاجرونة,1,0.0
82,3,19,AFLOU,آفلو,1,0.0
83,3,20,EL ASSAFIA,العسفية,1,2000000.0
84,3,21,OUED MORRA,واد مرة,1,0.0
85,3,22,OUED M' ZI,واد مزي,1,0.0
86,3,23,EL HOUITA,الحوايطة,1,0.0
87,3,24,SIDI BOUZID,سيدي بوزيد,1,1000000.0
88,4,01,OUM BOUAGHI,أم البواقي,1,338240000.0
89,4,02,AIN BEIDA,عين البيضاء,1,3000000.0
90,4,03,AIN M'LILA,عين مليلة,1,0.0
91,4,04,BEHIR CHERGUI,بحير الشرقي,1,0.0
92,4,05,EL AMIRIA,العامرية,1,1100000.0
93,4,06,SIGUS,سيقوس,1,0.0
94,4,07,EL BELALA,البلالة,1,0.0
95,4,08,AIN BABOUCHE,عين ببوش,1,0.0
96,4,09,BERRICHE,بريش,1,0.0
97,4,10,OULED HAMLA,أولاد حملة,1,0.0
98,4,11,DHALA,الضلعة,1,0.0
99,4,12,AIN KERCHA,عين كرشة,1,1000000.0
100,4,13,HANCHIR TOUMGHANI,ھنشير تومغانى,1,0.0
101,4,14,EL DJAZIA,الجازية,1,0.0
102,4,15,AIN DISS,عين الديس,1,0.0
103,4,16,F'KIRINA,فكيرينة,1,0.0
104,4,17,SOUK NAAMANE,سوق نعمان,1,0.0
105,4,18,ZORG,الزرق,1,0.0
106,4,19,EL FEDJOUDJ BOUGHARA SAOUDI,الفجوج بوغرارة سعودى,1,0.0
107,4,20,OULED ZOUAI,أولاد الزوى,1,2000000.0
108,4,21,BIR CHOUAHADA,بئر الشھداء,1,0.0
109,4,22,KSAR SBAHI,قصر الصباحى,1,0.0
110,4,23,OUED NINI,وادى نينى,1,0.0
111,4,24,MESKIANA,مسكيانة,1,1000000.0
112,4,25,AIN FAKROUN,عين الفكرون,1,0.0
113,4,26,RAHIA,الراحية,1,0.0
114,4,27,AIN ZITOUN,عين الزيتون,1,0.0
115,4,28,OULED GACEM,أولاد قاسم,1,0.0
116,4,29,EL HARMALIA,الحرملية,1,129780000.0
117,5,01,BATNA,باتنة,1,338240000.0
118,5,02,GHASSIRA,غسيرة,1,3000000.0
119,5,03,MAAFA,معافة,1,0.0
120,5,04,MEROUANA,مروانة,1,0.0
121,5,05,SERIANA,سريانة,1,1100000.0
122,5,06,MENAA,منعة,1,0.0
123,5,07,EL MADHER,المعذر,1,0.0
124,5,08,TAZOULT,تازولت,1,0.0
125,5,09,N'GAOUS,نقاوس,1,0.0
126,5,10,GUIGBA,قيقبة,1,0.0
127,5,11,INOUGHISENE,اينوغيسن,1,0.0
128,5,12,OUYOUN ASSAFIR,عيون العصا فير,1,1000000.0
129,5,13,DJERMA,جرمة,1,0.0
130,5,14,BITAM,بيطام,1,0.0
131,5,15,METKOUAK,المتكوك,1,0.0
132,5,16,ARRIS,أريس,1,0.0
133,5,17,KIMMEL,كيمل,1,0.0
134,5,18,TILATOU,تيلاطو,1,0.0
135,5,19,AIN DJASSER,عين جاسر,1,0.0
136,5,20,OULED SELAM,أولاد سلام,1,2000000.0
137,5,21,TIGHERGHAR,تغرغار,1,0.0
